action,alert,assigned_project,change,department,device,document,employee_id,event_type,file,instrument,name,office,recipient_department,record,role,security_clearance,status,system,timestamp
,,Technology Modernization,,Executive Leadership,,,EX-009,login,,,Abigail Garcia,Tucson,,,Executive Leadership,Trade Secret,,,2026-01-08 07:00:00
,,Identity Modernization,,Information Technology,,,IT-029,login,,,Sarah Aguilar,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-08 07:03:00
,,Infrastructure,,Information Technology,,,IT-013,login,,,James Cooper,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-08 07:04:00
,,Endpoint Security,,Information Technology,,,IT-022,login,,,Stephen Bridges,Boston,,,IT Security Administrator,Trade Secret,,,2026-01-08 07:04:00
,,Endpoint Security,,Information Technology,,,IT-003,login,,,Marvin Davis,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-08 07:10:00
,,Corporate Strategy,,Executive Leadership,,,EX-008,login,,,John Hall,Tucson,,,Executive Leadership,Trade Secret,,,2026-01-08 07:19:00
,,Research Portfolio,,Executive Leadership,,,EX-010,login,,,Martin Harris,Boston,,,Executive Leadership,Trade Secret,,,2026-01-08 07:22:00
,,Infrastructure,,Information Technology,,,IT-026,login,,,James Clark,Boston,,,IT Security Administrator,Trade Secret,,,2026-01-08 07:25:00
,,Technology Modernization,,Executive Leadership,,,EX-007,login,,,Mark Hernandez,Boston,,,Executive Leadership,Trade Secret,,,2026-01-08 07:29:00
,,Sample Processing,,Research,,,LT-001,login,,,Charles Snyder,Boston,,,Laboratory Technician,Restricted,,,2026-01-08 07:30:00
,,HELIX,,Research,,,LT-017,login,,,Amanda Ward,Tucson,,,Laboratory Technician,Restricted,,,2026-01-08 07:30:00
,,Sample Processing,,Research,,,LT-028,login,,,Rebecca Zavala,Tucson,,,Laboratory Technician,Restricted,,,2026-01-08 07:30:00
,,HELIX,,Research,,,LT-044,login,,,Scott Buck,Tucson,,,Laboratory Technician,Restricted,,,2026-01-08 07:30:00
,,Identity Modernization,,Information Technology,,,IT-004,login,,,Edward Schmitt,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-08 07:30:00
,,Infrastructure,,Information Technology,,,IT-008,login,,,Mark Davis,Boston,,,IT Security Administrator,Trade Secret,,,2026-01-08 07:31:00
,,Laboratory Operations,,Research,,,LT-010,login,,,Chelsea Miller,Boston,,,Laboratory Technician,Restricted,,,2026-01-08 07:32:00
,,HELIX,,Research,,,LT-025,login,,,Lauren Oconnell,Boston,,,Laboratory Technician,Restricted,,,2026-01-08 07:33:00
,,Identity Modernization,,Information Technology,,,IT-021,login,,,Christopher Thomas,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-08 07:34:00
,,Sample Processing,,Research,,,LT-009,login,,,Lisa Pena,Boston,,,Laboratory Technician,Restricted,,,2026-01-08 07:35:00
,,Laboratory Operations,,Research,,,LT-024,login,,,Sharon Henry,Tucson,,,Laboratory Technician,Restricted,,,2026-01-08 07:36:00
,,Identity Modernization,,Information Technology,,,IT-025,login,,,Amanda Gordon,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-08 07:36:00
,,Cloud Migration,,Information Technology,,,IT-028,login,,,Kathy Andrade,Boston,,,IT Security Administrator,Trade Secret,,,2026-01-08 07:36:00
,,Laboratory Operations,,Research,,,LT-011,login,,,Leslie Mejia,Tucson,,,Laboratory Technician,Restricted,,,2026-01-08 07:38:00
,,Laboratory Operations,,Research,,,LT-012,login,,,Ashley Martin,Boston,,,Laboratory Technician,Restricted,,,2026-01-08 07:39:00
,,HELIX,,Research,,,LT-040,login,,,Marcus Tucker,Tucson,,,Laboratory Technician,Restricted,,,2026-01-08 07:39:00
,,HELIX,,Research,,,LT-023,login,,,Stephanie Miller,Tucson,,,Laboratory Technician,Restricted,,,2026-01-08 07:40:00
,,Payroll,,Finance,,,FA-004,login,,,Ryan Stuart,Boston,,,Finance Analyst,Confidential,,,2026-01-08 07:40:00
,,Payroll,,Finance,,,FA-014,login,,,Andrew White,Tucson,,,Finance Analyst,Confidential,,,2026-01-08 07:40:00
,,Budget Planning,,Finance,,,FA-015,login,,,Nicole Delacruz,Tucson,,,Finance Analyst,Confidential,,,2026-01-08 07:40:00
,,Budget Planning,,Finance,,,FA-026,login,,,Tammy Lopez,Boston,,,Finance Analyst,Confidential,,,2026-01-08 07:40:00
,,HELIX,,Research,,,LT-003,login,,,Mary Blackburn,Boston,,,Laboratory Technician,Restricted,,,2026-01-08 07:41:00
,,Payroll,,Finance,,,FA-008,login,,,Joanna Powell,Boston,,,Finance Analyst,Confidential,,,2026-01-08 07:41:00
,,Payroll,,Finance,,,FA-009,login,,,Debra Fisher,Tucson,,,Finance Analyst,Confidential,,,2026-01-08 07:41:00
,,Procurement,,Finance,,,FA-030,login,,,Molly Moore,Tucson,,,Finance Analyst,Confidential,,,2026-01-08 07:41:00
,,Identity Modernization,,Information Technology,,,IT-020,login,,,Joshua Gray,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-08 07:41:00
,,Sample Processing,,Research,,,LT-006,login,,,Catherine Patterson,Boston,,,Laboratory Technician,Restricted,,,2026-01-08 07:42:00
,,HELIX,,Research,,,LT-014,login,,,Nicole Bailey,Tucson,,,Laboratory Technician,Restricted,,,2026-01-08 07:42:00
,,Budget Planning,,Finance,,,FA-019,login,,,Brenda Park,Tucson,,,Finance Analyst,Confidential,,,2026-01-08 07:42:00
,,Procurement,,Finance,,,FA-029,login,,,Maria Robinson,Tucson,,,Finance Analyst,Confidential,,,2026-01-08 07:42:00
,,Infrastructure,,Information Technology,,,IT-032,login,,,Sara Hernandez,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-08 07:42:00
,,Budget Planning,,Finance,,,FA-003,login,,,Kimberly Kramer,Boston,,,Finance Analyst,Confidential,,,2026-01-08 07:43:00
,,Payroll,,Finance,,,FA-031,login,,,Larry Bender,Tucson,,,Finance Analyst,Confidential,,,2026-01-08 07:43:00
,,Procurement,,Finance,,,FA-032,login,,,Megan Cox,Boston,,,Finance Analyst,Confidential,,,2026-01-08 07:43:00
,,Sample Processing,,Research,,,LT-016,login,,,Elizabeth Anderson,Boston,,,Laboratory Technician,Restricted,,,2026-01-08 07:44:00
,,Laboratory Operations,,Research,,,LT-020,login,,,Matthew Coleman,Boston,,,Laboratory Technician,Restricted,,,2026-01-08 07:44:00
,,HELIX,,Research,,,LT-034,login,,,Judy Cooke,Tucson,,,Laboratory Technician,Restricted,,,2026-01-08 07:44:00
,,Laboratory Operations,,Research,,,LT-038,login,,,Brett Gardner,Boston,,,Laboratory Technician,Restricted,,,2026-01-08 07:44:00
,,Payroll,,Finance,,,FA-007,login,,,Jonathan Anderson,Boston,,,Finance Analyst,Confidential,,,2026-01-08 07:44:00
,,Sample Processing,,Research,,,LT-013,login,,,Jill Hall,Tucson,,,Laboratory Technician,Restricted,,,2026-01-08 07:45:00
,,HELIX,,Regulatory Affairs,,,RA-037,login,,,Ryan Perez,Tucson,,,Regulatory Affairs Specialist,Restricted,,,2026-01-08 07:45:00
,,Laboratory Operations,,Research,,,LT-022,login,,,Antonio Summers,Tucson,,,Laboratory Technician,Restricted,,,2026-01-08 07:46:00
