action,alert,assigned_project,change,department,device,document,employee_id,event_type,file,instrument,name,office,recipient_department,record,role,security_clearance,status,system,timestamp
,,Cloud Migration,,Information Technology,,,IT-009,login,,,Nicholas Stein,Boston,,,IT Security Administrator,Trade Secret,,,2026-01-05 07:00:00
,,Infrastructure,,Information Technology,,,IT-033,login,,,Amy Zamora,Boston,,,IT Security Administrator,Trade Secret,,,2026-01-05 07:02:00
,,Research Portfolio,,Executive Leadership,,,EX-001,login,,,Jonathan Hardin,Boston,,,Executive Leadership,Trade Secret,,,2026-01-05 07:02:00
,,Endpoint Security,,Information Technology,,,IT-006,login,,,Donald Gill,Boston,,,IT Security Administrator,Trade Secret,,,2026-01-05 07:07:00
,,Cloud Migration,,Information Technology,,,IT-015,login,,,Todd Reed,Boston,,,IT Security Administrator,Trade Secret,,,2026-01-05 07:16:00
,,Endpoint Security,,Information Technology,,,IT-023,login,,,Daniel Diaz,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-05 07:17:00
,,Identity Modernization,,Information Technology,,,IT-020,login,,,Joshua Gray,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-05 07:18:00
,,Identity Modernization,,Information Technology,,,IT-004,login,,,Edward Schmitt,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-05 07:19:00
,,Cloud Migration,,Information Technology,,,IT-010,login,,,Brenda Malone,Boston,,,IT Security Administrator,Trade Secret,,,2026-01-05 07:21:00
,,Cloud Migration,,Information Technology,,,IT-024,login,,,Aaron Potter,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-05 07:24:00
,,Identity Modernization,,Information Technology,,,IT-025,login,,,Amanda Gordon,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-05 07:25:00
,,Infrastructure,,Information Technology,,,IT-013,login,,,James Cooper,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-05 07:26:00
,,Cloud Migration,,Information Technology,,,IT-027,login,,,Rodney Blackburn,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-05 07:27:00
