action,alert,assigned_project,change,department,device,document,employee_id,event_type,file,instrument,name,office,recipient_department,record,role,security_clearance,status,system,timestamp
,,Infrastructure,,Information Technology,,,IT-017,login,,,Jonathan May,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-06 07:04:00
,,Corporate Strategy,,Executive Leadership,,,EX-003,login,,,Steven Powers,Tucson,,,Executive Leadership,Trade Secret,,,2026-01-06 07:06:00
,,Technology Modernization,,Executive Leadership,,,EX-004,login,,,Michael Cooper,Boston,,,Executive Leadership,Trade Secret,,,2026-01-06 07:07:00
,,Endpoint Security,,Information Technology,,,IT-006,login,,,Donald Gill,Boston,,,IT Security Administrator,Trade Secret,,,2026-01-06 07:11:00
,,Identity Modernization,,Information Technology,,,IT-020,login,,,Joshua Gray,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-06 07:15:00
,,Endpoint Security,,Information Technology,,,IT-023,login,,,Daniel Diaz,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-06 07:16:00
,,Cloud Migration,,Information Technology,,,IT-010,login,,,Brenda Malone,Boston,,,IT Security Administrator,Trade Secret,,,2026-01-06 07:18:00
,,Endpoint Security,,Information Technology,,,IT-012,login,,,Travis Davies,Boston,,,IT Security Administrator,Trade Secret,,,2026-01-06 07:19:00
,,Infrastructure,,Information Technology,,,IT-031,login,,,Rachael Bullock,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-06 07:21:00
,,Research Portfolio,,Executive Leadership,,,EX-001,login,,,Jonathan Hardin,Boston,,,Executive Leadership,Trade Secret,,,2026-01-06 07:28:00
,,Infrastructure,,Information Technology,,,IT-013,login,,,James Cooper,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-06 07:30:00
,,Laboratory Operations,,Research,,,LT-027,login,,,Tina Conley,Tucson,,,Laboratory Technician,Restricted,,,2026-01-06 07:31:00
,,Sample Processing,,Research,,,LT-032,login,,,Teresa Calderon,Boston,,,Laboratory Technician,Restricted,,,2026-01-06 07:31:00
,,Technology Modernization,,Executive Leadership,,,EX-005,login,,,Cynthia Silva,Boston,,,Executive Leadership,Trade Secret,,,2026-01-06 07:31:00
,,Laboratory Operations,,Research,,,LT-020,login,,,Matthew Coleman,Boston,,,Laboratory Technician,Restricted,,,2026-01-06 07:32:00
,,Laboratory Operations,,Research,,,LT-037,login,,,Aaron Patterson,Tucson,,,Laboratory Technician,Restricted,,,2026-01-06 07:32:00
,,HELIX,,Research,,,LT-029,login,,,Paul Johnson,Boston,,,Laboratory Technician,Restricted,,,2026-01-06 07:33:00
,,Laboratory Operations,,Research,,,LT-038,login,,,Brett Gardner,Boston,,,Laboratory Technician,Restricted,,,2026-01-06 07:33:00
,,Sample Processing,,Research,,,LT-001,login,,,Charles Snyder,Boston,,,Laboratory Technician,Restricted,,,2026-01-06 07:34:00
,,Laboratory Operations,,Research,,,LT-015,login,,,Jacob Martinez,Tucson,,,Laboratory Technician,Restricted,,,2026-01-06 07:34:00
,,Sample Processing,,Research,,,LT-043,login,,,Logan Sanchez,Tucson,,,Laboratory Technician,Restricted,,,2026-01-06 07:34:00
,,Cloud Migration,,Information Technology,,,IT-024,login,,,Aaron Potter,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-06 07:34:00
,,Laboratory Operations,,Research,,,LT-031,login,,,Dylan Martin,Boston,,,Laboratory Technician,Restricted,,,2026-01-06 07:35:00
,,Laboratory Operations,,Research,,,LT-041,login,,,Michael Johnson,Boston,,,Laboratory Technician,Restricted,,,2026-01-06 07:35:00
,,Sample Processing,,Research,,,LT-009,login,,,Lisa Pena,Boston,,,Laboratory Technician,Restricted,,,2026-01-06 07:36:00
,,HELIX,,Research,,,LT-025,login,,,Lauren Oconnell,Boston,,,Laboratory Technician,Restricted,,,2026-01-06 07:36:00
,,HELIX,,Research,,,LT-042,login,,,Paul Campos,Tucson,,,Laboratory Technician,Restricted,,,2026-01-06 07:36:00
,,HELIX,,Research,,,LT-039,login,,,Kirsten Collins,Boston,,,Laboratory Technician,Restricted,,,2026-01-06 07:37:00
,,Laboratory Operations,,Research,,,LT-022,login,,,Antonio Summers,Tucson,,,Laboratory Technician,Restricted,,,2026-01-06 07:38:00
,,Sample Processing,,Research,,,LT-045,login,,,John Santos,Boston,,,Laboratory Technician,Restricted,,,2026-01-06 07:39:00
,,Endpoint Security,,Information Technology,,,IT-016,login,,,Sean Ellis,Boston,,,IT Security Administrator,Trade Secret,,,2026-01-06 07:39:00
